Model Name,Rating,ROM,Display (cm),Chip Processor,Number of Ratings,Number of Reviews,Price(₹)
"APPLE iPhone 13 (Pink, 512 GB)",4.7,512,15.49,A15,255205.0,12592.0,84999
"APPLE iPhone 14 Plus (Midnight, 512 GB)",4.6,512,17.02,A15,15369.0,929.0,106999
"APPLE iPhone 11 (Green, 64 GB)",4.6,64,15.49,A13,200360.0,11406.0,37999
"APPLE iPhone 14 ((PRODUCT)RED, 512 GB)",4.6,512,15.49,A15,48180.0,1833.0,97999
"APPLE iPhone 14 (Purple, 512 GB)",4.6,512,15.49,A15,48180.0,1833.0,97999
"APPLE iPhone 14 (Midnight, 512 GB)",4.6,512,15.49,A15,48180.0,1833.0,97999
"APPLE iPhone 14 Pro (Space Black, 128 GB)",4.6,128,15.49,A16,1781.0,130.0,119999
"APPLE iPhone 14 Plus (Purple, 512 GB)",4.6,512,17.02,A15,15369.0,929.0,106999
"APPLE iPhone 13 (Green, 512 GB)",4.7,512,15.49,A15,255205.0,12592.0,84999
"APPLE iPhone 14 Plus ((PRODUCT)RED, 512 GB)",4.6,512,17.02,A15,15369.0,929.0,106999
"APPLE iPhone 14 (Starlight, 512 GB)",4.6,512,15.49,A15,48180.0,1833.0,97999
"APPLE iPhone 14 Pro (Gold, 128 GB)",4.6,128,15.49,A16,1781.0,130.0,119999
"APPLE iPhone 13 (Midnight, 512 GB)",4.7,512,15.49,A15,255205.0,12592.0,84999
"APPLE iPhone 13 Pro Max (Alpine Green, 256 GB)",4.6,256,17.02,A15,1921.0,184.0,139900
"APPLE iPhone 13 (Blue, 512 GB)",4.7,512,15.49,A15,255205.0,12592.0,84999
"APPLE iPhone SE 3rd Gen (Starlight, 256 GB)",4.4,256,11.94,A15,900.0,,46599
"APPLE iPhone 14 (Yellow, 256 GB)",4.6,256,15.49,A15,48180.0,1833.0,77999
"APPLE iPhone 14 Plus (Midnight, 256 GB)",4.6,256,17.02,A15,15369.0,929.0,86999
