Model Name,Rating,ROM,Display (cm),Chip Processor,Number of Ratings,Number of Reviews,Price(₹)
"APPLE iPhone XS (Silver, 256 GB)",4.7,256,14.73,A12,11962.0,868.0,103900
"APPLE iPhone 6s Plus (Space Grey, 64 GB)",4.4,64,13.97,,18836.0,2375.0,59999
"APPLE iPhone 12 Pro (Silver, 256 GB)",4.5,256,15.49,A14,1332.0,,88199
"APPLE iPhone 6 (Gold, 64 GB)",4.4,64,11.94,,145591.0,16218.0,62500
"APPLE iPhone 13 Pro Max (Graphite, 1 TB)",4.6,1,17.02,A15,1921.0,184.0,145999
"APPLE iPhone 6s Plus (Gold, 16 GB)",4.4,16,13.97,,18836.0,2375.0,49999
"APPLE iPhone 11 Pro (Silver, 512 GB)",4.6,512,14.73,A13,8676.0,629.0,140300
"APPLE iPhone 6 Plus (Silver, 64 GB)",4.5,64,13.97,,1674.0,199.0,48999
"APPLE iPhone 11 (Yellow, 128 GB)",4.6,128,15.49,A13,200360.0,11406.0,46999
"APPLE iPhone 7 (Gold, 32 GB)",4.5,32,11.94,,95159.0,9189.0,31500
"APPLE iPhone 12 Pro Max (Pacific Blue, 512 GB)",4.5,512,17.02,A14,1270.0,103.0,123299
"APPLE iPhone 7 Plus (Gold, 256 GB)",4.5,256,13.97,,29840.0,2993.0,85400
"APPLE iPhone 6s (Rose Gold, 32 GB)",4.5,32,11.94,,93095.0,9228.0,29990
"APPLE iPhone 7 Plus (Jet Black, 256 GB)",4.5,256,13.97,,29840.0,2993.0,85400
"APPLE iPhone 11 (Yellow, 128 GB)",4.6,128,15.49,A13,200360.0,11406.0,46999
"APPLE iPhone 7 (Gold, 32 GB)",4.5,32,11.94,,95159.0,9189.0,31500
"APPLE iPhone 12 Pro Max (Pacific Blue, 512 GB)",4.5,512,17.02,A14,1270.0,103.0,123299
"APPLE iPhone 6s (Rose Gold, 32 GB)",4.5,32,11.94,,93095.0,9228.0,29990
"APPLE iPhone 7 Plus (Jet Black, 256 GB)",4.5,256,13.97,,29840.0,2993.0,85400
"APPLE iPhone 13 mini ((PRODUCT)RED, 512 GB)",4.5,512,13.72,A15,3497.0,302.0,91999
"APPLE iPhone 6 (Silver, 64 GB)",4.4,64,11.94,,145591.0,16218.0,62000
"APPLE iPhone 7 Plus (PRODUCT) (Red, 256 GB)",5.0,256,13.97,,,,85400
"APPLE iPhone 8 (PRODUCT)RED (Red, 256 GB)",4.7,256,11.94,A11,113.0,,81500
"APPLE iPhone 13 Pro (Alpine Green, 128 GB)",4.7,128,15.49,A15,1483.0,122.0,119900
"APPLE IPhone 4 (White, 8 GB)",4.1,8,8.89,,1095.0,184.0,13999
"APPLE iPhone 6 (Space Grey, 64 GB)",4.4,64,11.94,,145591.0,16218.0,44999
"APPLE iPhone 8 (PRODUCT)RED (Red, 64 GB)",4.7,64,11.94,A11,113.0,,39900
"APPLE iPhone 6s (Gold, 128 GB)",4.5,128,11.94,,93095.0,9228.0,55999
"APPLE iPhone 6s Plus (Rose Gold, 32 GB)",4.4,32,13.97,,18836.0,2375.0,34900
"APPLE iPhone 7 (PRODUCT) (Red, 256 GB)",4.7,256,11.94,,,,74400
"APPLE iPhone 6s (Silver, 32 GB)",4.5,32,11.94,,93095.0,9228.0,29990
"APPLE iPhone 13 Pro Max (Silver, 128 GB)",4.6,128,17.02,A15,1921.0,184.0,129900
"APPLE iPhone 13 Pro (Gold, 256 GB)",4.7,256,15.49,A15,1483.0,122.0,129900
"APPLE iPhone 6 (Gold, 128 GB)",4.4,128,11.94,,145591.0,16218.0,49999
"APPLE iPhone XS Max (Silver, 256 GB)",4.6,256,16.51,A12,1453.0,146.0,124900
"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)",4.5,128,11.94,A13,154498.0,12077.0,32990
"APPLE iPhone 6 Plus (Silver, 128 GB)",4.5,128,13.97,,1674.0,199.0,48999
"APPLE iPhone 14 Pro Max (Space Black, 1 TB)",4.6,1,17.02,A16,1985.0,145.0,177999
"APPLE iPhone 6 Plus (Space Grey, 64 GB)",4.5,64,13.97,,1674.0,199.0,48999
"APPLE iPhone 12 mini (Blue, 128 GB)",4.5,128,13.72,A14,129311.0,10267.0,55999
"APPLE iPhone 7 (Jet Black, 128 GB)",4.5,128,11.94,,95159.0,9189.0,34900
"APPLE iPhone 12 Pro (Pacific Blue, 256 GB)",4.5,256,15.49,A14,1332.0,,88199
"APPLE iPhone XS Max (Space Grey, 64 GB)",4.6,64,16.51,A12,1453.0,146.0,109900
"APPLE iPhone 7 Plus (Jet Black, 32 GB)",4.5,32,13.94,,29840.0,2993.0,37900
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,128,15.49,A12,100918.0,8544.0,52900
"APPLE iPhone 12 Pro Max (Silver, 128 GB)",4.5,128,17.02,A14,1270.0,103.0,95599
"APPLE iPhone 6s (Gold, 32 GB)",4.5,32,11.94,,93095.0,9228.0,29990
"APPLE iPhone 11 Pro Max (Gold, 64 GB)",4.7,64,16.51,A13,1101.0,100.0,95699
"APPLE iPhone 6s Plus (Space Grey, 128 GB)",4.4,128,13.97,,18836.0,2375.0,92000
"APPLE iPhone 13 Pro (Gold, 128 GB)",4.7,128,15.49,A15,1483.0,122.0,119900
"APPLE iPhone 11 Pro Max (Midnight Green, 256 GB)",4.7,256,16.51,A13,1101.0,100.0,101999
"APPLE iPhone 12 mini (Purple, 128 GB)",4.5,128,13.72,A14,129311.0,10267.0,55999
"APPLE iPhone 13 Pro Max (Sierra Blue, 128 GB)",4.6,128,17.02,A15,1921.0,184.0,129900
"APPLE iPhone 11 Pro (Silver, 64 GB)",4.6,64,14.73,A13,8676.0,629.0,106600
"APPLE iPhone 8 Plus (Gold, 256 GB)",4.6,256,13.97,A11,3440.0,355.0,84900
"APPLE iPhone 6s (Rose Gold, 128 GB)",4.5,128,11.94,,93095.0,9228.0,55999
"APPLE iPhone 7 Plus (Silver, 256 GB)",4.5,256,13.97,,29840.0,2993.0,85400
"APPLE iPhone 13 Pro (Graphite, 256 GB)",4.7,256,15.49,A15,1483.0,122.0,129900
"APPLE iPhone 7 (Rose Gold, 32 GB)",4.5,32,11.94,,95159.0,9189.0,31500
"APPLE iPhone 6s (Space Grey, 128 GB)",4.5,128,11.94,,93095.0,9228.0,82000
"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)",4.6,128,15.49,A12,100918.0,8544.0,41699
"APPLE iPhone SE (White, 256 GB)",4.5,256,11.94,A13,154498.0,12077.0,40990
"APPLE iPhone XS (Gold, 256 GB)",4.7,256,14.73,A12,11962.0,868.0,103900
"Apple iPhone XR (Coral, 128 GB) (Includes EarPods, Power Adapter)",4.6,128,15.49,A12,100918.0,8544.0,41699
"APPLE iPhone 6 (Space Grey, 32 GB)",4.4,32,11.94,,145591.0,16218.0,30780
"APPLE iPhone XS (Silver, 512 GB)",4.7,512,14.73,A12,11962.0,868.0,134900
"APPLE iPhone 8 (Space Grey, 64 GB)",4.5,64,11.94,A11,11383.0,803.0,39900
"APPLE iPhone 11 Pro Max (Silver, 512 GB)",4.7,512,16.51,A13,1101.0,100.0,150800
"APPLE iPhone 12 Pro Max (Gold, 128 GB)",4.5,128,17.02,A14,1270.0,103.0,95599
"Apple iPhone SE (Red, 256 GB) (Includes EarPods, Power Adapter)",4.5,256,11.94,A13,154498.0,12077.0,54900
"APPLE iPhone 7 Plus (Black, 32 GB)",4.5,32,13.94,,29840.0,2993.0,37900
"APPLE IPhone 4 (Black, 8 GB)",4.1,8,8.89,,1095.0,184.0,22900
"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)",4.5,64,11.94,A13,154498.0,12077.0,28990
"APPLE iPhone 7 Plus (Silver, 128 GB)",4.5,128,13.94,,29840.0,2993.0,42900
"APPLE iPhone 13 mini (Starlight, 256 GB)",4.5,256,13.72,A15,3497.0,302.0,71999
"APPLE iPhone 8 (Space Grey, 256 GB)",4.5,256,11.94,A11,11383.0,803.0,77000
"APPLE iPhone XR (White, 128 GB)",4.6,128,15.49,A12,100918.0,8544.0,41699
"APPLE iPhone 7 Plus (Gold, 128 GB)",4.5,128,13.94,,29840.0,2993.0,42900
"APPLE iPhone 7 Plus (Gold, 32 GB)",4.5,32,13.94,,29840.0,2993.0,37900
"APPLE iPhone 7 Plus (Black, 128 GB)",4.5,128,13.94,,29840.0,2993.0,42900
"APPLE iPhone SE (Black, 128 GB)",4.5,128,11.94,A13,154498.0,12077.0,32990
"APPLE iPhone 6 (Silver, 16 GB)",4.4,16,11.94,,145591.0,16218.0,36990
"APPLE iPhone 7 (Silver, 32 GB)",4.5,32,11.94,,95159.0,9189.0,31500
"APPLE iPhone XR (Black, 128 GB)",4.6,128,15.49,A12,100918.0,8544.0,41699
"APPLE iPhone 7 (Black, 256 GB)",4.5,256,11.94,,95159.0,9189.0,74400
"APPLE iPhone 12 mini (White, 256 GB)",4.5,256,13.72,A14,129311.0,10267.0,56999
"APPLE iPhone 7 (Silver, 32 GB)",4.5,32,11.94,,95159.0,9189.0,31500
"APPLE iPhone 7 (Black, 256 GB)",4.5,256,11.94,,95159.0,9189.0,74400
"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)",4.5,64,11.94,A13,154498.0,12077.0,28990
"APPLE iPhone XS (Silver, 64 GB)",4.7,64,14.73,A12,11962.0,868.0,89900
"APPLE iPhone 12 Pro (Graphite, 128 GB)",4.5,128,15.49,A14,1332.0,,78899
"APPLE iPhone 7 Plus (Silver, 128 GB)",4.5,128,13.94,,29840.0,2993.0,42900
"APPLE iPhone 7 (Jet Black, 32 GB)",4.5,32,11.94,,95159.0,9189.0,31500
"APPLE iPhone 7 (Red, 128 GB)",4.5,128,11.94,,95159.0,9189.0,34900
"APPLE iPhone 13 mini (Starlight, 128 GB)",4.5,128,13.72,A15,3497.0,302.0,61999
"APPLE iPhone 6s Plus (Rose Gold, 128 GB)",4.4,128,13.97,,18836.0,2375.0,70000
"APPLE iPhone 7 (Gold, 128 GB)",4.5,128,11.94,,95159.0,9189.0,34900
"APPLE iPhone 7 Plus (Silver, 32 GB)",4.5,32,13.94,,29840.0,2993.0,37900
"APPLE iPhone 12 mini (Blue, 256 GB)",4.5,256,13.72,A14,129311.0,10267.0,56999
"APPLE iPhone XS (Space Grey, 512 GB)",4.7,512,14.73,A12,11962.0,868.0,134900
"APPLE iPhone 12 Pro Max (Graphite, 512 GB)",4.5,512,17.02,A14,1270.0,103.0,123299
"APPLE iPhone 12 Pro Max (Silver, 512 GB)",4.5,512,17.02,A14,1270.0,103.0,123299
"APPLE iPhone 7 Plus (Rose Gold, 128 GB)",4.5,128,13.94,,29840.0,2993.0,42900
"APPLE iPhone 12 mini (Green, 128 GB)",4.5,128,13.72,A14,129311.0,10267.0,55999
"APPLE iPhone 13 Pro Max (Sierra Blue, 1 TB)",4.6,1,17.02,A15,1921.0,184.0,145999
"APPLE iPhone 5s (Space Grey, 16 GB)",4.4,16,10.16,,62762.0,7337.0,25000
"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)",4.5,64,11.94,A13,154498.0,12077.0,28990
"APPLE iPhone 7 (Black, 128 GB)",4.5,128,11.94,,95159.0,9189.0,34900
"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)",4.6,64,15.49,A12,100918.0,8544.0,36999
"APPLE iPhone 14 Pro (Deep Purple, 512 GB)",4.6,512,15.49,A16,1781.0,130.0,149999
"APPLE iPhone 14 Pro (Silver, 1 TB)",4.6,1,15.49,A16,1781.0,130.0,169999
"APPLE iPhone 11 Pro (Silver, 256 GB)",4.6,256,14.73,A13,8676.0,629.0,100699
"APPLE iPhone 14 Plus (Starlight, 512 GB)",4.6,512,17.02,A15,15369.0,929.0,106999
"APPLE iPhone XS (Gold, 64 GB)",4.7,64,14.73,A12,11962.0,868.0,89900
"APPLE iPhone XS (Space Grey, 512 GB)",4.7,512,14.73,A12,11962.0,868.0,134900
"APPLE iPhone 7 (Black, 32 GB)",4.5,32,11.94,,95159.0,9189.0,31500
"APPLE iPhone 12 mini (White, 64 GB)",4.5,64,13.72,A14,129311.0,10267.0,50999
"APPLE iPhone 12 mini (Red, 256 GB)",4.5,256,13.72,A14,129311.0,10267.0,56999
"APPLE iPhone 6s (Space Grey, 16 GB)",4.5,16,11.94,,93095.0,9228.0,62000
"APPLE iPhone 7 Plus (Red, 128 GB)",4.5,128,13.94,,29840.0,2993.0,42900
"APPLE iPhone 6s (Rose Gold, 64 GB)",4.5,64,11.94,,93095.0,9228.0,72000
"APPLE iPhone 14 Pro Max (Silver, 1 TB)",4.6,1,17.02,A16,1985.0,145.0,177999
"APPLE iPhone 5C (White, 32 GB)",3.9,32,10.16,,1327.0,265.0,53500
"APPLE iPhone XS (Space Grey, 64 GB)",4.7,64,14.73,A12,11962.0,868.0,89900
"APPLE iPhone 5C (Green, 16 GB)",3.9,16,10.16,,1327.0,265.0,41900
"APPLE iPhone 5C (Blue, 16 GB)",3.9,16,10.16,,1327.0,265.0,41900
"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)",4.5,128,15.49,A14,1332.0,,78899
"APPLE iPhone 6s Plus (Gold, 128 GB)",4.4,128,13.97,,18836.0,2375.0,92000
"APPLE iPhone 5C (Blue, 8 GB)",3.9,8,10.16,,1327.0,265.0,14999
"APPLE iPhone 5C (White, 8 GB)",3.9,8,10.16,,1327.0,265.0,14999
"APPLE iPhone 8 (Silver, 256 GB)",4.5,256,11.94,A11,11383.0,803.0,77000
"APPLE iPhone 6 (Gold, 32 GB)",4.4,32,11.94,,145591.0,16218.0,28130
"APPLE iPhone 8 Plus (Space Grey, 64 GB)",4.6,64,13.97,A11,3440.0,355.0,49900
"APPLE iPhone 6 (Silver, 128 GB)",4.4,128,11.94,,145591.0,16218.0,71500
"APPLE iPhone 5C (White, 8 GB)",3.9,8,10.16,,1327.0,265.0,14999
"APPLE iPhone 12 Pro Max (Graphite, 256 GB)",4.5,256,17.02,A14,1270.0,103.0,129900
"APPLE iPhone 8 (Silver, 256 GB)",4.5,256,11.94,A11,11383.0,803.0,77000
"APPLE iPhone 6 (Gold, 32 GB)",4.4,32,11.94,,145591.0,16218.0,28130
"APPLE iPhone 8 Plus (Space Grey, 64 GB)",4.6,64,13.97,A11,3440.0,355.0,49900
"APPLE iPhone 7 (Silver, 256 GB)",4.5,256,11.94,,95159.0,9189.0,74400
"APPLE iPhone 12 mini (Black, 256 GB)",4.5,256,13.72,A14,129311.0,10267.0,56999
"APPLE iPhone 8 (Gold, 256 GB)",4.5,256,11.94,A11,11383.0,803.0,77000
"APPLE iPhone 7 (Gold, 256 GB)",4.5,256,11.94,,95159.0,9189.0,74400
"APPLE iPhone 7 (Jet Black, 256 GB)",4.5,256,11.94,,95159.0,9189.0,74400
"APPLE iPhone 6 (Grey, 128 GB)",4.4,128,11.94,,145591.0,16218.0,71500
"APPLE iPhone 6 (Silver, 128 GB)",4.4,128,11.94,,145591.0,16218.0,71500
"APPLE iPhone XS Max (Gold, 256 GB)",4.6,256,16.51,A12,1453.0,146.0,124900
"APPLE iPhone 12 mini (Purple, 64 GB)",4.5,64,13.72,A14,129311.0,10267.0,50999
"APPLE iPhone 12 Pro Max (Silver, 256 GB)",4.5,256,17.02,A14,1270.0,103.0,129900
"APPLE iPhone 11 Pro (Space Grey, 64 GB)",4.6,64,14.73,A13,8676.0,629.0,106600
"APPLE iPhone 5s (Silver, 16 GB)",4.4,16,10.16,,62762.0,7337.0,25000
"APPLE iPhone 5C (White, 16 GB)",3.9,16,10.16,,1327.0,265.0,41900
"APPLE iPhone 5C (Pink, 8 GB)",3.9,8,10.16,,1327.0,265.0,37500
"APPLE iPhone 5C (Yellow, 8 GB)",3.9,8,10.16,,1327.0,265.0,37500
"APPLE iPhone 5C (Green, 8 GB)",3.9,8,10.16,,1327.0,265.0,37500
"APPLE iPhone 12 Pro Max (Pacific Blue, 128 GB)",4.5,128,17.02,A14,1270.0,103.0,95599
"APPLE iPhone 5s (Gold, 16 GB)",4.4,16,10.16,,62762.0,7337.0,35000
"APPLE iPhone 6s Plus (Space Grey, 16 GB)",4.4,16,13.97,,18836.0,2375.0,72000
